Date,Transaction Type,Serial Number,Description,Amount,Daily Posted Balance
3/30/2022,Debit,,TAX 641449 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($4,952.18)",
3/30/2022,Debit,,NET 641445 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($8,970.53)","$37,500.63 "
3/31/2022,Credit,,DEPOSIT INTUIT 53794945 MODEV ACH CREDIT,"$25,000 ",
3/31/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($7,900)",
3/31/2022,Debit,,TRAN FEE INTUIT 14422525 MODEV ACH CORP DEBIT,($10),
3/31/2022,Debit,,WIRE REF# 20220331-00005748 BUSONLINE DOMESTIC WIRE,"($1,092)","$53,498.63 "
4/1/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$51,245.46 "
4/4/2022,Debit,,BILLING AUTHNET GATEWAY MODEVNETWORK LLC ACH CORP DEBIT,($25),
4/4/2022,Debit,,GLOBAL STL GLOBAL PAYMENTS MODEVNETWORK  LLC ACH CORP DEBIT,($4.95),
4/4/2022,Debit,,FEE 874649 GUSTO ModevNetwork LLC ACH CORP DEBIT,($51),
4/4/2022,Debit,,COMM LOANS TRUIST 0006997848/0000000018 ACH CORP DEBIT,"($1,624.71)","$49,539.80 "
4/7/2022,Debit,,TAX 936710 GUSTO ModevNetwork LLC ACH CORP DEBIT,($0.06),
4/7/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,($250),"$49,289.74 "
4/8/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$47,036.57 "
4/11/2022,Credit,,Bill.com Voicify ModevNetwork  LLC ACH CREDIT,"$30,000 ",
4/11/2022,Debit,,PAYMENT USAA CREDIT CARD 996790304023259 RECURRING INTERNET PAYMENT,($386),
4/11/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($7,500)","$69,150.57 "
4/12/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ERICKSON ACH CORP DEBIT,($147),
4/12/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ERICKSON ACH CORP DEBIT,($562),
4/12/2022,Debit,,EDI PAYMTS UNITED HEALTHCAR 0007MODEVNETWORK LLC ACH CORP DEBIT,"($2,423.09)",
4/12/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($1,500)","$64,518.48 "
4/13/2022,Debit,,Payables Bill.com ModevNetwork LLC ACH CORP DEBIT,"($4,800)","$59,718.48 "
4/14/2022,Debit,,TAX 120477 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($4,934.14)",
4/14/2022,Debit,,NET 120469 GUSTO ModevNetwork LLC ACH CORP DEBIT,"($8,970.59)","$45,813.75 "
4/15/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$43,560.58 "
4/19/2022,Debit,,LIFE USAA.COM PAY EXT D033345925RECURRING INTERNET PAYMENT,($290.38),"$43,270.20 "
4/21/2022,Fee,,SERVICE CHARGES - PRIOR PERIOD,($120),"$43,150.20 "
4/22/2022,Credit,,AP Verify iMerit  Inc. ModevNetwork LLC ACH CREDIT,$0.01 ,
4/22/2022,Debit,,DEBIT PayPal ModevNetwork LLC ACH CORP DEBIT,"($2,253.17)","$40,897.04 "
