Date,Transaction Type,Check Number,Description,Amount,Daily Posted Balance
01/14/2022,Debit,00000000000,BILL.COM         PAYABLES   016WAMXUF231Y7U   1204895317                                  ,($2500),$87463.16
01/19/2022,Debit,00000000000,USAA.COM PAY EXT LIFE       D033345925        USAALIFEBP                                  ,($290.38),$87172.78
01/19/2022,Debit,00000000000,BILL.COM         PAYABLES   016NOMMJG236JN5   1204895317                                  ,($4600),$82572.78
01/21/2022,Debit,00000000000,ACCOUNT ANALYSIS ACCT ANLY  753              0000000010                                  ,($5),$82567.78
01/21/2022,Debit,00000000000,PAYPAL           DEBIT      R22012010903942   E204791216                                  ,($2242.37),$80325.41
01/25/2022,Debit,00000000000,BILL.COM         PAYABLES   016PIALCM23FIYN   1204895317                                  ,($7092.96),$73232.45
01/26/2022,Debit,00000000000,TRUIST BANK      CL PAYMENT 0006997848        9051000020                                  ,($1686.71),$71545.74
01/26/2022,Debit,00000000000,BILL.COM         PAYABLES   016RRJDME23HFJQ   1204895317                                  ,($5670),$65875.74
01/27/2022,Debit,00000000000,TRUIST BANK      CL PAYMENT 0006997848        9051000020                                  ,($724.98),$65150.76
01/27/2022,Debit,00000000000,TRUIST BANK      CL PAYMENT 0006997848        9051000020                                  ,($4326.9),$60823.86
01/28/2022,Debit,00000000000,PAYPAL           DEBIT      R22012710933232   E204791216                                  ,($2242.37),$58581.49
01/28/2022,Debit,00000000000,BILL.COM         PAYABLES   016KPZHYV23L7XT   1204895317                                  ,($3000),$55581.49
01/28/2022,Debit,00000000000,GUSTO            TAX 271260 6SEMJR3QAUP       9138864001                                  ,($4510.62),$51070.87
01/28/2022,Debit,00000000000,GUSTO            NET 271241 6SEMJR3QAU8       9138864001                                  ,($8318.46),$42752.41
01/31/2022,Debit,00000000000,BILL.COM         PAYABLES   016CHZXGE23N8PU   1204895317                                  ,($158),$42594.41
02/02/2022,Debit,00000000000,GLOBAL PAYMENTS  GLOBAL STL 8788210011971     5469221406                                  ,($4.95),$42589.46
02/02/2022,Debit,00000000000,AUTHNET GATEWAY  BILLING    121118231         1870568569                                  ,($25),$42564.46
02/02/2022,Debit,00000000000,GUSTO            FEE 385298 6SEMJR4I314       2453942850                                  ,($51),$42513.46
02/02/2022,Debit,00000000000,BILL.COM         PAYABLES   016JMLVWS23RP9I   1204895317                                  ,($3750),$38763.46
02/04/2022,DEPOSIT,00000000000,DEPOSIT                                                          ,$+10343.61,$49107.07
02/04/2022,Debit,00000000000,TRUIST BANK      CL PAYMENT 0006997848        9051000020                                  ,($1624.71),$47482.36
02/04/2022,Debit,00000000000,PAYPAL           DEBIT      R22020310967862   E204791216                                  ,($2242.37),$45239.99
02/09/2022,Debit,00000000000,USAA CREDIT CARD PAYMENT    996790304023259   3140742690                                  ,($349),$44890.99
02/09/2022,Debit,00000000000,BILL.COM         PAYABLES   016BCAFCC242FI3   1204895317                                  ,($1677.5),$43213.49
02/10/2022,Debit,00000000000,UNITED HEALTHCAR EDI PAYMTS 540168157760      1411289245                                  ,($2317.32),$40896.17
02/10/2022,Debit,00000000000,AMEX EPAYMENT    ACH PMT    M5276             0005000008                                  ,($27556.92),$13339.25
02/11/2022,Debit,00000000000,CAPITAL ONE      CRCARDPMT  3L7LAWLAU45H8C4   9541719018                                  ,($135),$13204.25
02/11/2022,Debit,00000000000,CAPITAL ONE      CRCARDPMT  3L7L9TG50KC24T8   9541719018                                  ,($502),$12702.25
02/11/2022,Debit,00000000000,PAYPAL           DEBIT      R22021010991489   E204791216                                  ,($2242.37),$10459.88
02/11/2022,Debit,00000000000,FOR ITEM       $16 520.00 BILL.COM         PAYABLES   016HRF                              ,($38),$10421.88
02/14/2022,Debit,00000000000,BILL.COM         PAYABLES   016YXOTJM248GU2   1204895317                                  ,($4100),$6321.88
02/17/2022,Debit,00000000000,USAA.COM PAY EXT LIFE       D033345925        USAALIFEBP                                  ,($290.38),$6031.50
02/18/2022,Debit,00000000000,ACCOUNT ANALYSIS ACCT ANLY  753              0000000010                                  ,($5),$6026.50
02/18/2022,Debit,00000000000,PAYPAL           DEBIT      R22021711029858   E204791216                                  ,($2242.37),$3784.13
02/23/2022,Deposit,,WIRE REF# 20220223-00015022 INCO                                                           MING WIRE TRANSFER,$+50443.61,$54227.74
02/24/2022,Debit,,TAX 842280 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($4510.64),
02/24/2022,Debit,,NET 842272 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($8318.45),
02/24/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($4170),$37228.65
02/25/2022,Debit,,COMM LOANS TRUIST 0006997848/000                                                           0000042 ACH CORP DEBIT,($1686.71),$35541.94
02/28/2022,Credit,,CORP PAY VERITONE INCORP MODEVNE                                                           TWORK ACH CREDIT,$+125000,
02/28/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($3514.06),
02/28/2022,Debit,,COMM LOANS TRUIST 0006997848/000                                                           0000059 ACH CORP DEBIT,($724.98),
02/28/2022,Debit,,COMM LOANS TRUIST 0006997848/000                                                           0000075 ACH CORP DEBIT,($4326.9),$151976.00
03/01/2022,Debit,,TAX 024677 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($4979.91),
03/01/2022,Debit,,NET 024675 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($8970.53),$138025.56
03/02/2022,Debit,,GLOBAL STL GLOBAL PAYMENTS MODEV                                                           NETWORK  LLC ACH CORP DEBIT,($4.95),
03/02/2022,Debit,,BILLING AUTHNET GATEWAY MODEVNET                                                           WORK LLC ACH CORP DEBIT,($25),
03/02/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Eric                                                           kson ACH CORP DEBIT,($25000),
03/02/2022,Debit,,FEE 033527 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($51),
03/02/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($1500),
03/02/2022,Debit,,WIRE REF# 20220302-00004960 BUS                                                           ONLINE DOMESTIC WIRE,($4170),$107274.61
03/03/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($10000),
03/03/2022,Debit,,WIRE REF# 20220303-00007843 BUS                                                           ONLINE DOMESTIC WIRE,($5000),
03/03/2022,Debit,,WIRE REF# 20220303-00013969 BUS                                                           ONLINE DOMESTIC WIRE,($3000),
03/03/2022,Debit,,WIRE REF# 20220303-00014335 BUS                                                           ONLINE DOMESTIC WIRE,($850),
03/03/2022,Debit,,COMM LOANS TRUIST 0006997848/000                                                           0000018 ACH CORP DEBIT,($1624.71),$86799.90
03/04/2022,Debit,,DEBIT PayPal ModevNetwork LLC AC                                                           H CORP DEBIT,($2253.17),$84546.73
03/09/2022,Debit,,PAYMENT USAA CREDIT CARD 9967903                                                           04023259 RECURRING INTERNET PAYMENT,($366),
03/09/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Eric                                                           kson ACH CORP DEBIT,($10000),$74180.73
03/10/2022,Debit,,EDI PAYMTS UNITED HEALTHCAR 0007                                                           MODEVNETWORK LLC ACH CORP DEBIT,($2317.32),$71863.41
03/11/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ER                                                           ICKSON ACH CORP DEBIT,($133),
03/11/2022,Debit,,CRCARDPMT CAPITAL ONE PETER G ER                                                           ICKSON ACH CORP DEBIT,($468),
03/11/2022,Debit,,DEBIT PayPal ModevNetwork LLC AC                                                           H CORP DEBIT,($2253.17),
03/11/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($4100),$64909.24
03/14/2022,Credit,,DEPOSIT INTUIT 54552365 MODEV AC                                                           H CREDIT,$+40000,
03/14/2022,Debit,,TRAN FEE INTUIT 14617265 MODEV A                                                           CH CORP DEBIT,($10),
03/14/2022,Debit,,TAX 276218 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($4978.12),
03/14/2022,Debit,,NET 276210 GUSTO ModevNetwork LL                                                           C ACH CORP DEBIT,($8970.55),
03/14/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Eric                                                           kson ACH CORP DEBIT,($39978.08),$50972.49
03/15/2022,Debit,,Payables Bill.com ModevNetwork                                                            LLC ACH CORP DEBIT,($10340),
03/15/2022,Debit,,WIRE REF# 20220315-00004155 BUS                                                           ONLINE DOMESTIC WIRE,($4170),$36462.49
03/16/2022,Debit,,Industriou Industrious tech ST-D                                                           1C0D6E5V6G1 INTERNET PAYMENT,($50),
03/16/2022,Debit,,Industriou Industrious tech ST-W                                                           1S0G0K4F6B5 INTERNET PAYMENT,($50),
03/16/2022,Debit,,Industriou Industrious tech ST-M                                                           6I9T3M1C1S7 INTERNET PAYMENT,($50),$36312.49
03/17/2022,Debit,,LIFE USAA.COM PAY EXT D033345925                                                           RECURRING INTERNET PAYMENT,($290.38),$36022.11
03/18/2022,Credit,,2367 WillowTree MoDevNetwork LLC                                                           ACH CREDIT,$+40000,
03/18/2022,Debit,,DEBIT PayPal ModevNetwork LLC AC                                                           H CORP DEBIT,($2253.17),$73768.94
03/22/2022,Debit,,ACH PMT AMEX EPAYMENT Peter Eric                                                           kson ACH CORP DEBIT,($21127.79),$52641.15
